lemma,ngsl_rank,sfi,adjusted_frequency_per_million,hai_familiarity_band
the,1,87.85,60910,a
be,2,86.86,48575,a
and,3,84.88,30789,a
of,4,84.79,30126,a
to,5,84.66,29272,a
a,6,84.45,27872,a
in,7,83.25,21142,a
have,8,81.53,14210,a
it,9,81.39,13772,a
you,10,81.08,12810,a
he,11,80.42,11017,a
for,12,80.01,10025,a
they,13,79.9,9764,a
not,14,79.77,9494,a
that,15,79.37,8653,a
we,16,79.24,8401,a
on,17,78.9,7763,a
with,18,78.68,7381,a
this,19,78.45,7003,a
I,20,78.34,6820,a
do,21,78.33,6802,a
as,22,78.29,6747,a
at,23,77.46,5570,a
she,24,77.16,5195,a
but,25,77.06,5087,a
from,26,76.63,4598,a
by,27,76.36,4323,a
will,28,76.23,4195,a
or,29,76.09,4060,a
say,30,75.35,3425,a
go,31,75.13,3260,a
so,32,75.09,3227,a
all,33,75.02,3175,a
if,34,74.78,3009,a
one,35,74.77,2997,a
would,36,74.77,2997,a
about,37,74.72,2967,a
can,38,74.61,2890,a
which,39,74.6,2886,a
there,40,74.5,2820,a
know,41,74.21,2634,a
more,42,74.2,2631,a
get,43,74.1,2573,a
who,44,74.04,2534,a
like,45,73.92,2465,a
when,46,73.86,2435,a
think,47,73.86,2433,a
make,48,73.73,2359,a
time,49,73.62,2302,a
see,50,73.48,2226,a
what,51,73.43,2204,a
up,52,73.32,2150,a
some,53,73.28,2130,a
other,54,73.22,2100,a
out,55,73.15,2064,a
good,56,73.09,2038,a
people,57,73.05,2019,a
year,58,72.9,1949,a
take,59,72.73,1873,a
no,60,72.68,1854,a
well,61,72.64,1835,a
because,62,72.61,1824,a
very,63,72.53,1792,a
just,64,72.43,1751,a
come,65,72.29,1694,a
could,66,72.27,1688,a
work,67,72.24,1674,a
use,68,72.19,1657,a
than,69,72.02,1591,a
now,70,71.94,1563,a
then,71,71.91,1554,a
also,72,71.91,1552,a
into,73,71.7,1477,a
only,74,71.69,1475,a
look,75,71.37,1370,a
want,76,71.31,1354,a
give,77,71.24,1332,a
first,78,71.21,1321,a
new,79,71.1,1290,a
way,80,71.07,1279,a
find,81,70.92,1236,a
over,82,70.92,1235,a
any,83,70.88,1224,a
after,84,70.83,1210,a
day,85,70.75,1187,a
where,86,70.75,1187,a
thing,87,70.65,1161,a
most,88,70.59,1146,a
should,89,70.54,1132,a
need,90,70.53,1129,a
much,91,70.51,1125,a
right,92,70.47,1113,a
how,93,70.39,1093,a
back,94,70.22,1051,a
mean,95,70.09,1021,a
even,96,69.95,988,a
may,97,69.82,959,a
here,98,69.77,947,a
many,99,69.75,945,a
such,100,69.71,936,a
last,101,69.62,917,a
child,102,69.59,910,a
tell,103,69.55,901,a
really,104,69.4,870,a
call,105,69.39,869,a
before,106,69.29,849,a
company,107,69.25,842,a
through,108,69.23,838,a
down,109,69.21,833,a
show,110,69.18,827,a
life,111,69.09,812,a
man,112,69.07,807,a
change,113,69.02,799,a
place,114,69,795,a
long,115,68.98,791,a
between,116,68.94,784,a
feel,117,68.92,780,a
too,118,68.82,763,a
still,119,68.76,752,a
problem,120,68.65,733,a
write,121,68.65,732,a
same,122,68.58,721,a
